personality_type,social_energy,alone_time_preference,talkativeness,deep_reflection,group_comfort,party_liking,listening_skill,empathy,creativity,organization,leadership,risk_taking,public_speaking_comfort,curiosity,routine_preference,excitement_seeking,friendliness,emotional_stability,planning,spontaneity,adventurousness,reading_habit,sports_interest,online_social_usage,travel_desire,gadget_usage,work_style_collaborative,decision_speed,stress_handling
Extrovert,6.794295229854372,3.854670018248156,8.725445613479337,2.515150903815632,7.097368315822627,8.588761626433518,6.774798987932712,6.430131760831384,6.142968277859736,0.0,8.486190583043737,6.888587526380827,8.618033415245208,5.514367007182497,4.247435934513323,8.916668309394483,8.370775934614409,4.919930584898477,4.426421738377739,4.853313459132306,8.257133815023119,5.270555286278049,10.0,9.154296028672762,4.816422032044173,9.19171076842172,8.313589961480453,8.032375714391979,7.176904962406299
Ambivert,6.378987653468172,5.731157209744457,7.029529215091548,7.274493005754673,4.111199090885071,3.2582475261559685,5.550909320470281,3.9581791664540473,6.149457273651262,4.530322196741378,6.214741916844032,4.8772237018151525,5.018525602258066,6.170892210340816,6.30421937281402,6.494121733918031,9.127521466943826,4.585075032493723,4.60401856086036,6.0672005591333225,6.289347112092598,5.753165294655707,5.334302903119154,4.683780661608601,4.725666027569277,5.956141253087173,5.890619184171385,3.1589884871041316,3.423576627881012
Ambivert,7.459420713592305,6.322263466081372,3.9222687198361683,4.622260729264463,5.343275831552612,7.452152153763508,9.483990445520433,6.127654018876885,7.032016865299244,7.092077896654648,3.034191691607953,4.312375576722545,6.474163848411114,6.179085432922328,4.930448663265109,4.054730473065579,7.602896573181752,5.651974638261263,6.269467261767163,5.524244152126598,9.238783565870373,5.250404911917361,3.1535396755418503,5.000338154016388,6.139166252365638,6.033047571604976,5.8075002275854795,4.5710033444738825,5.647479652542913
Extrovert,6.159626485557139,3.097837472503916,6.019092935438505,1.9654403713948891,7.837140244210039,10.0,9.436733419125062,8.949684327852042,8.923875114632569,5.232693784940381,10.0,8.203099643032752,7.269755024526737,5.477594312912557,2.284053602932423,9.442942153835116,10.0,6.6228841674286345,5.566069467146305,4.327018020934109,8.48979137236322,5.312616557170672,8.37993610376781,7.601946338966451,6.370055534542233,5.410144571831847,6.671780719484085,6.600232818680288,5.870088330271098
Introvert,5.568461592550384,6.986722432726289,3.9132397473117884,9.92616058342346,1.6504834545896148,0.3622982097613314,7.470386973437444,6.75683735940145,9.50780331401098,6.378051456672467,4.452972794759719,2.4568794384138766,2.7797444950990404,5.1382195403945605,7.043162230274179,4.149460666763167,4.628954021429472,5.283958345627213,4.711944481746878,5.187689282086485,3.1672166010099514,7.0602348079983415,2.333387825086958,7.771568597293047,5.534336231426035,5.704597885807435,5.832968464700879,5.813099344842629,3.7580837876647033
Introvert,2.807173448422305,6.326097247415451,2.7700853906536405,5.617670480975609,4.752116102625151,0.30262973838377927,7.137656715106032,5.399155739939937,4.564804643245692,3.3604175368107008,2.977163466811064,4.983357891302535,2.789303040298869,6.383135482048676,9.444365381572448,4.377930343604937,5.771032832939025,5.7815251874489295,5.464826787607633,3.8883441059025343,1.8684061316175609,9.188566762393362,4.817574073669171,3.4274457957040143,4.674632342261701,4.027298758951044,3.048723910698352,2.7748093302093704,4.560961568558226
Introvert,1.5374679225922288,7.605495939067206,4.29466644999332,9.166947193534044,3.0853349464353985,1.042874383997331,10.0,5.89913101669031,5.423302491631111,8.31979810937382,2.75946699726508,2.067698601390508,2.2851446871450354,6.1602087266558705,5.133382174401509,2.7084492544232877,6.213928249791127,6.950514014374352,6.822373041251829,7.906635827258046,3.173682541150466,9.458013130102781,2.2720467881815045,5.218916540802724,2.7458507992406487,4.056359012902543,5.695608215291785,3.230286589422035,6.76126630477452
Ambivert,6.636632170312275,4.350585694889565,7.13151125673649,5.4550613421099055,2.530413224407985,3.0816555428877908,5.17734364536475,5.692995664249265,3.9516030898304484,9.236595449445142,5.93819973325513,7.731857579037753,4.759396928200411,6.275259870747665,4.118357461483058,7.183344129515724,8.332521800705495,5.006114793631591,6.244406050657466,3.6438671543396213,7.601720609030251,5.803109368231991,5.024010438157987,7.029383142831444,6.990229762492512,7.147859415204639,4.680889936959241,5.107636628691931,7.2467368773612115
Extrovert,7.330318282617428,2.8204213280535453,5.224400483980541,5.05345930743089,7.969032454516422,9.10693426382933,6.717554526157045,7.061661179349983,7.5915408757740686,7.961516303358907,3.016811115060409,6.048440411434813,7.021810744331525,8.816983475857183,3.661761933803395,6.790166857702733,6.105774636325382,4.966374004618164,5.620066942707999,4.459565509332721,6.996721721027243,5.980063211441196,9.638288006886361,5.509409450828025,7.5136445644102405,8.788241116739812,9.300327309180169,8.086807121838792,5.784908270140097
Ambivert,5.377394985952758,4.762184494768856,4.24444719631516,6.399885109950215,4.781680484946474,6.074592114101014,10.0,5.6015649460729415,4.927993172354136,5.285973324218027,2.0037607700252305,4.414150931279435,4.61679302009942,7.69893670468248,5.413746375862262,5.351087677450794,10.0,5.107615832266445,4.5308709106640075,7.5864720674716,5.513110604633135,5.950500966704366,2.328847524259415,5.644437964203616,6.251067252827513,3.5392729942143824,5.698558854197225,4.079389312172424,6.609341487630091
